Group,Attack Method,K,Clean Acc (%),Robust Acc (%),ASR (%),Accuracy Drop (%),Avg L0,Avg L0 Ratio,Avg L2,Avg L_inf,PSNR (dB),SSIM,LPIPS,Avg Iterations,Time/Img (s)
Group C,FGSM,N/A,92.2,52.8,42.84,39.4,1021.04,0.9971,1.7262,0.0314,30.13,0.8388,,1.0,0.0008
Group C,BIM,N/A,92.2,3.2,97.07,89.0,865.03,0.8448,0.6442,0.0175,43.2,0.9673,,2.5,0.0011
Group C,PGD,N/A,92.2,2.1,97.72,90.1,1022.78,0.9988,1.0785,0.0314,34.23,0.9241,,2.45,0.002
Group C,SFA,N/A,92.2,6.7,94.36,85.5,823.6,0.8043,1.5357,0.0618,36.41,0.8714,,4.25,0.0024
Group A,JSMA,1,92.2,88.8,3.9,3.4,0.92,0.0009,0.7918,0.5191,42.36,0.994,,22.19,0.0006
Group A,JSMA,2,92.2,87.0,5.75,5.2,1.81,0.0018,1.1346,0.5832,38.88,0.9884,,21.75,0.0008
Group A,JSMA,4,92.2,82.7,10.41,9.5,3.55,0.0035,1.5957,0.6429,35.6,0.9779,,20.78,0.0013
Group A,JSMA,8,92.2,77.5,16.05,14.7,6.86,0.0067,2.2235,0.6963,32.47,0.9587,,19.74,0.0021
Group A,JSMA,16,92.2,70.2,23.97,22.0,12.95,0.0126,3.0302,0.7352,29.88,0.9263,,18.72,0.0036
Group A,JSMA,32,92.2,66.0,28.85,26.2,18.98,0.0185,3.614,0.7575,28.31,0.8982,,18.44,0.004
Group A,JSMA,64,92.2,66.0,28.85,26.2,18.98,0.0185,3.614,0.7575,28.31,0.8982,,18.44,0.004
Group A,JSMA,128,92.2,66.0,28.85,26.2,18.98,0.0185,3.614,0.7575,28.31,0.8982,,18.44,0.004
Group A,OnePixel,1,92.2,91.5,0.98,0.7,0.92,0.0009,0.5935,0.4763,44.17,0.996,,0.92,0.0019
Group A,OnePixel,2,92.2,90.8,1.74,1.4,1.84,0.0018,0.8315,0.5596,41.12,0.9926,,0.92,0.0017
Group A,OnePixel,4,92.2,91.1,1.95,1.1,3.69,0.0036,1.2153,0.6403,37.91,0.9851,,0.92,0.0016
Group A,OnePixel,8,92.2,89.4,4.12,2.8,7.35,0.0072,1.7116,0.6979,35.11,0.9711,,0.92,0.0016
Group A,OnePixel,16,92.2,86.7,7.48,5.5,14.64,0.0143,2.3955,0.7421,32.38,0.9443,,0.92,0.0017
Group A,OnePixel,32,92.2,82.5,12.47,9.7,29.08,0.0284,3.4198,0.779,29.51,0.8923,,0.92,0.0016
Group A,OnePixel,64,92.2,74.5,21.58,17.7,57.28,0.0559,4.7734,0.8054,26.83,0.8029,,0.92,0.0017
Group A,OnePixel,128,92.2,62.4,35.25,29.8,110.98,0.1084,6.6643,0.826,24.16,0.6638,,0.92,0.0017
Group A,CornerSearch,1,92.2,87.6,5.42,4.6,0.92,0.0009,0.8758,0.5671,41.14,0.9935,,0.92,0.0004
Group A,CornerSearch,2,92.2,84.1,9.65,8.1,1.79,0.0017,1.2337,0.6434,38.07,0.9877,,1.79,0.0006
Group A,CornerSearch,4,92.2,76.7,18.11,15.5,3.38,0.0033,1.7019,0.703,35.35,0.9772,,3.39,0.0009
Group A,CornerSearch,8,92.2,70.2,25.38,22.0,6.13,0.006,2.2391,0.7385,33.25,0.9602,,6.16,0.0016
Group A,CornerSearch,16,92.2,61.5,35.03,30.7,10.3,0.0101,2.8129,0.7622,31.63,0.9362,,10.62,0.0029
Group A,CornerSearch,32,92.2,57.1,39.91,35.1,11.86,0.0116,2.9827,0.7675,31.24,0.9278,,12.45,0.0035
Group A,CornerSearch,64,92.2,57.1,39.91,35.1,11.86,0.0116,2.9827,0.7675,31.24,0.9278,,12.45,0.0035
Group A,CornerSearch,128,92.2,57.1,39.91,35.1,11.86,0.0116,2.9827,0.7675,31.24,0.9278,,12.45,0.0035
Group A,SAIF,1,92.2,80.3,13.23,11.9,8.25,0.0081,0.1778,0.069,54.25,0.9972,,20.92,0.0024
Group A,SAIF,2,92.2,75.0,19.31,17.2,14.16,0.0138,0.2481,0.0881,51.5,0.9948,,19.59,0.0024
Group A,SAIF,4,92.2,66.0,29.28,26.2,24.34,0.0238,0.3287,0.0994,49.4,0.991,,17.97,0.0024
Group A,SAIF,8,92.2,43.2,54.12,49.0,40.12,0.0392,0.3958,0.1009,48.08,0.9868,,15.03,0.0024
Group A,SAIF,16,92.2,24.0,74.84,68.2,62.02,0.0606,0.444,0.0966,47.28,0.983,,11.22,0.0024
Group A,SAIF,32,92.2,11.1,88.72,81.1,90.67,0.0885,0.4726,0.0826,46.66,0.9801,,7.56,0.0024
Group A,SAIF,64,92.2,5.9,94.36,86.3,136.66,0.1335,0.5093,0.067,45.8,0.9762,,5.09,0.0024
Group A,SAIF,128,92.2,3.2,97.18,89.0,214.75,0.2097,0.5681,0.0531,44.6,0.9708,,3.69,0.0024
Group A,PGD0,1,92.2,89.8,2.71,2.4,1.44,0.0014,0.3017,0.2144,52.83,0.9982,,22.48,0.0024
Group A,PGD0,2,92.2,87.3,5.42,4.9,2.8,0.0027,0.4556,0.2603,48.5,0.9962,,21.95,0.0024
Group A,PGD0,4,92.2,84.2,9.0,8.0,7.19,0.007,0.5963,0.2785,45.47,0.9928,,21.23,0.0024
