Group,Attack Method,K,PSNR (dB),SSIM,LPIPS,Avg L0,Avg L2,Avg L_inf,Avg Iterations
Group C,FGSM,,30.13,0.8388,,1021.04,1.7262,0.0314,1.0
Group C,BIM,,43.2,0.9673,,865.03,0.6442,0.0175,2.5
Group C,PGD,,34.23,0.9241,,1022.78,1.0785,0.0314,2.45
Group C,SFA,,36.41,0.8714,,823.6,1.5357,0.0618,4.25
Group A,JSMA,1.0,42.36,0.994,,0.92,0.7918,0.5191,22.19
Group A,JSMA,2.0,38.88,0.9884,,1.81,1.1346,0.5832,21.75
Group A,JSMA,4.0,35.6,0.9779,,3.55,1.5957,0.6429,20.78
Group A,JSMA,8.0,32.47,0.9587,,6.86,2.2235,0.6963,19.74
Group A,JSMA,16.0,29.88,0.9263,,12.95,3.0302,0.7352,18.72
Group A,JSMA,32.0,28.31,0.8982,,18.98,3.614,0.7575,18.44
Group A,JSMA,64.0,28.31,0.8982,,18.98,3.614,0.7575,18.44
Group A,JSMA,128.0,28.31,0.8982,,18.98,3.614,0.7575,18.44
Group A,OnePixel,1.0,44.17,0.996,,0.92,0.5935,0.4763,0.92
Group A,OnePixel,2.0,41.12,0.9926,,1.84,0.8315,0.5596,0.92
Group A,OnePixel,4.0,37.91,0.9851,,3.69,1.2153,0.6403,0.92
Group A,OnePixel,8.0,35.11,0.9711,,7.35,1.7116,0.6979,0.92
Group A,OnePixel,16.0,32.38,0.9443,,14.64,2.3955,0.7421,0.92
Group A,OnePixel,32.0,29.51,0.8923,,29.08,3.4198,0.779,0.92
Group A,OnePixel,64.0,26.83,0.8029,,57.28,4.7734,0.8054,0.92
Group A,OnePixel,128.0,24.16,0.6638,,110.98,6.6643,0.826,0.92
Group A,CornerSearch,1.0,41.14,0.9935,,0.92,0.8758,0.5671,0.92
Group A,CornerSearch,2.0,38.07,0.9877,,1.79,1.2337,0.6434,1.79
Group A,CornerSearch,4.0,35.35,0.9772,,3.38,1.7019,0.703,3.39
Group A,CornerSearch,8.0,33.25,0.9602,,6.13,2.2391,0.7385,6.16
Group A,CornerSearch,16.0,31.63,0.9362,,10.3,2.8129,0.7622,10.62
Group A,CornerSearch,32.0,31.24,0.9278,,11.86,2.9827,0.7675,12.45
Group A,CornerSearch,64.0,31.24,0.9278,,11.86,2.9827,0.7675,12.45
Group A,CornerSearch,128.0,31.24,0.9278,,11.86,2.9827,0.7675,12.45
Group A,SAIF,1.0,54.25,0.9972,,8.25,0.1778,0.069,20.92
Group A,SAIF,2.0,51.5,0.9948,,14.16,0.2481,0.0881,19.59
